"filename", "language", "Dart", "JSON", "XML", "HTML", "Properties", "YAML", "C++", "Markdown", "Groovy", "Swift", "comment", "blank", "total"
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\add_fundraiser\edit_contact_form_widget.dart", "Dart", 413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 419
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\add_fundraiser\funeral_service_form.dart", "Dart", 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 375
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\add_fundraiser\locations_cards.dart", "Dart", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 112
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\add_fundraiser\locations_grid.dart", "Dart", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\button_widget.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\change_theme_button_widget.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\dashboard\bar_chart_widget.dart", "Dart", 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 11, 171
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\dashboard\bars_widget.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 74
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\dashboard\dashboard.dart", "Dart", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 7, 244
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\dashboard\line_chart_widget.dart", "Dart", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 129
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\edit_fundraiser\edit_fundraiser_grid.dart", "Dart", 650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 662
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\edit_fundraiser\edit_names_dates_goal_widget.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\edit_fundraiser\edit_obituary_text_widget.dart", "Dart", 999, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 1008
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\edit_fundraiser\edit_text_field_widget.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraiser_fund.dart", "Dart", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 5, 190
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraiser_searchbar.dart", "Dart", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 59
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraisers_details\donations.dart", "Dart", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 218
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraisers_details\fundraisers_details_view.dart", "Dart", 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 217
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraisers_details\funeral_services.dart", "Dart", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 237
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraisers_details\story_widget.dart", "Dart", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraisers_grid.dart", "Dart", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 5, 138
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraisers_my_fundraisers.dart", "Dart", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 158
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\fundraisers_search_results.dart", "Dart", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 4, 187
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\fundraisers\search_results.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 80
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\profile\bars_widget.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 71
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\profile\cubes.dart", "Dart", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\profile\cubes_bottom.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 52
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\profile\funds_total_and_raised.dart", "Dart", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 102
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\profile\profile_locations_widget.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 101
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\profile\profile_yourfundraisers.dart", "Dart", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 171
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\lib\widgets\profile\user_details_widget.dart", "Dart", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 209
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 40, 15, 115
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\web\index.html", "HTML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 15, 5, 46
"d:\Projects\Flutter Projects\Mobile_App_MF\mfapp_mobile\web\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 11922, 168, 217, 26, 8, 60, 1, 13, 81, 12, 459, 502, 13469
